"","League","Area","Team","Name","Position_Raw","School","Hometown","Birthday_Raw","Birthday","Height_Raw","Height","Weight_Raw","Weight","Nationality"
"1","B1","東地区","北海道","関野 剛平","ポジション / SG/SF","東海大学","北海道","1994年8月1日",1994-08-01,"183cm",183,"80kg",80,"日本"
"2","B1","東地区","北海道","山本 柊輔","ポジション / PG","筑波大学","静岡県","1993年11月4日",1993-11-04,"176cm",176,"74kg",74,"日本"
"3","B1","東地区","北海道","牧 全","ポジション / SG","ソノマ州立大学","愛知県","1992年6月16日",1992-06-16,"188cm",188,"86kg",86,"日本"
"4","B1","東地区","北海道","多嶋 朝飛","ポジション / PG","東海大学","北海道","1988年10月8日",1988-10-08,"173cm",173,"71kg",71,"日本"
"5","B1","東地区","北海道","折茂 武彦","ポジション / SG","日本大学","埼玉県","1970年5月14日",1970-05-14,"190cm",190,"77kg",77,"日本"
"6","B1","東地区","北海道","市岡 ショーン","ポジション / PF","サンディエゴ・ミラマー大学","アメリカ合衆国","1991年4月3日",1991-04-03,"198cm",198,"96kg",96,"日本"
"7","B1","東地区","北海道","桜井 良太","ポジション / SF","愛知学泉大学","三重県","1983年3月13日",1983-03-13,"194cm",194,"85kg",85,"日本"
"8","B1","東地区","北海道","デイビッド・ドブラス","ポジション / C","バルセロナ大学","スペイン","1981年8月6日",1981-08-06,"206cm",206,"130kg",130,"スペイン"
"9","B1","東地区","北海道","マーク・トラソリーニ","ポジション / PF/C","サンタクララ大学","アメリカ","1990年6月21日",1990-06-21,"206cm",206,"109kg",109,"アメリカ合衆国"
"10","B1","東地区","北海道","川邉 亮平","ポジション / SF","白鴎大学","富山県","1995年3月12日",1995-03-12,"188cm",188,"85kg",85,"日本"
"11","B1","東地区","北海道","野口 大介","ポジション / PF","日本体育大学","北海道","1983年5月26日",1983-05-26,"196cm",196,"90kg",90,"日本"
"12","B1","東地区","北海道","松島 良豪","ポジション / PG","国士舘大学","沖縄県","1992年2月3日",1992-02-03,"185cm",185,"78kg",78,"日本"
"13","B1","東地区","秋田","野本 建吾","ポジション / SF/PF","青山学院大学","兵庫県","1992年4月25日",1992-04-25,"200cm",200,"99kg",99,"日本"
"14","B1","東地区","秋田","下山 大地","ポジション / SG","岩手大学","青森県","1989年8月8日",1989-08-08,"182cm",182,"80kg",80,"日本"
"15","B1","東地区","秋田","白濱 僚祐","ポジション / SF","白鴎大学","佐賀県","1991年8月29日",1991-08-29,"189cm",189,"85kg",85,"日本"
"16","B1","東地区","秋田","成田 正弘","ポジション / PG","拓殖大学","愛知県","1994年4月13日",1994-04-13,"174cm",174,"72kg",72,"日本"
"17","B1","東地区","秋田","下山 貴裕","ポジション / PF","関東学院大学","青森県","1992年2月2日",1992-02-02,"192cm",192,"92kg",92,"日本"
"18","B1","東地区","秋田","中山 拓哉","ポジション / PG/SG","東海大学","神奈川県","1994年7月24日",1994-07-24,"182cm",182,"82kg",82,"日本"
"19","B1","東地区","秋田","保岡 龍斗","ポジション / SG","江戸川大学","埼玉県","1995年4月27日",1995-04-27,"188cm",188,"87kg",87,"日本"
"20","B1","東地区","秋田","ニカ・ウィリアムス","ポジション / C","パシフィック大学","セントヴィンセント・グレナディーン","1987年7月9日",1987-07-09,"203cm",203,"111kg",111,"セントビンセント・グレナディーン"
"21","B1","東地区","秋田","俊野 達彦","ポジション / PG/SG","大阪商業大学","愛媛県","1988年1月18日",1988-01-18,"185cm",185,"80kg",80,"日本"
"22","B1","東地区","秋田","小野寺 祥太","ポジション / PG","盛岡南高等学校","岩手県","1994年11月6日",1994-11-06,"183cm",183,"73kg",73,"日本"
"23","B1","東地区","秋田","ジャスティン・キーナン","ポジション / PF/C","フェリス州立大学","米国","1988年5月2日",1988-05-02,"201cm",201,"120kg",120,"アメリカ合衆国"
"24","B1","東地区","秋田","カディーム・コールビー","ポジション / PF/C","ウィチタ州立大学","バハマ","1989年11月8日",1989-11-08,"206cm",206,"114kg",114,"バハマ"
